classification,ax,ay,az,gx,gy,gz,ax2,ay2,az2,gx2,gy2,gz2,mx,my,mz,steps,temp
6,16328,-7129,-2473,8133,-5228,10140,11548,-9544,-4112,32767,-29878,19043,263,65125,65276,35,-5472
6,-11560,3582,16654,244,-1775,15208,-3448,-6976,20180,-19930,9975,-20705,194,65238,65229,35,-5456
0,15373,-1347,49,-307,18,71,16232,-3392,-2344,-318,-26,-203,185,90,351,80,-5472
0,15160,-1676,-303,21,170,35,16532,-3148,-2248,158,-86,-47,183,93,347,80,-5472
0,15372,-1270,-41,-656,-64,72,16824,-3008,-1884,-90,-169,6,184,92,349,80,-5424
0,15208,-1274,-386,29,37,113,16264,-3176,-2320,-711,-220,-447,176,91,354,80,-5504
0,15270,-1524,-496,107,153,-171,16024,-3032,-2492,-320,-117,-402,174,91,357,80,-5472
0,15372,-1697,-217,-239,12,-84,16360,-3016,-2276,-234,108,-176,175,89,358,80,-5424
0,15354,-1483,-644,-21,9,-69,16148,-2860,-2276,-324,-34,-119,173,93,355,80,-5472
0,15262,-1482,-652,-251,73,342,16284,-2800,-2376,-127,-229,-49,170,93,357,80,-5456
0,15144,-1299,-455,-174,60,-58,16316,-2932,-2848,196,-247,-166,169,91,361,80,-5440
0,15653,-1053,-738,-265,88,284,16564,-2992,-2592,-221,-175,-85,171,89,361,80,-5440
0,15429,-1317,-484,-417,-5,30,16484,-2620,-2128,-344,-434,361,170,90,362,80,-5488
0,15256,-1395,-496,-141,102,184,16268,-3016,-2716,-297,-287,-183,168,89,364,80,-5456
0,15337,-1364,-964,46,248,-57,16352,-2992,-2504,-298,-139,-52,168,89,363,80,-5456
0,15282,-1613,-537,106,253,115,16336,-3068,-2292,-555,-46,-249,170,88,362,80,-5440
0,15293,-1524,-679,-205,54,-115,16128,-2992,-2464,-690,-291,-340,165,92,361,80,-5424
0,15556,-1439,-891,-116,166,5,16176,-2808,-2464,-334,-79,126,169,86,365,80,-5472
0,15416,-1616,-490,-142,-6,-33,16372,-3128,-2524,-488,-50,-212,166,91,362,80,-5440
0,15328,-1362,-669,135,202,-149,16260,-3108,-2764,30,-45,-174,167,86,365,80,-5456
